#{"t_start": 1783721429.796538, "env_id": "SpaceInvaders-v0"}
r,l,t
14.0,1092,514.744268
4.0,509,515.207237
9.0,723,515.865341
2.0,500,516.327394
9.0,695,516.997868
14.0,1071,518.024609
5.0,546,518.558465
5.0,542,519.069053
5.0,372,519.416987
22.0,1034,520.384158
6.0,357,520.719213
12.0,942,521.616019
13.0,771,522.33234
14.0,953,523.24782
9.0,579,523.818613
12.0,681,524.47254
7.0,616,525.069208
7.0,447,525.511238
11.0,524,526.020407
6.0,508,526.518285
17.0,796,527.265247
4.0,415,527.653556
5.0,614,528.245877
20.0,988,529.178588
6.0,921,530.044506
3.0,539,530.542572
8.0,612,531.087881
4.0,361,531.414896
3.0,455,531.818098
6.0,434,532.214856
18.0,1043,533.14714
19.0,996,534.033581
8.0,620,534.586505
6.0,497,535.043784
12.0,1293,536.207157
20.0,882,537.029627
16.0,949,537.938062
4.0,381,538.286831
6.0,385,538.648538
10.0,800,539.380576
3.0,349,539.697099
23.0,1149,540.705318
9.0,758,541.393096
10.0,593,541.935601
2.0,381,542.263651
4.0,378,542.593851
17.0,990,543.469742
5.0,336,543.764061
10.0,722,544.416341
9.0,493,544.861316
12.0,674,545.469159
6.0,534,545.947762
7.0,498,546.399047
2.0,374,546.726671
8.0,513,547.193189
3.0,393,547.539084
12.0,608,548.096463
17.0,1166,549.15081
6.0,516,549.627822
7.0,647,550.228644
9.0,504,550.704535
5.0,397,551.070306
7.0,694,551.71227
11.0,961,552.594247
12.0,805,553.328081
6.0,359,553.653343
11.0,629,554.222789
9.0,672,554.823407
24.0,1248,555.913063
27.0,1417,557.136608
16.0,872,557.919976
12.0,652,558.495126
6.0,489,558.928924
5.0,468,559.343395
18.0,830,560.077494
19.0,1317,561.259195
22.0,1129,562.286253
10.0,581,562.835952
14.0,624,563.423423
11.0,776,564.156624
29.0,1108,565.144209
4.0,375,565.492349
11.0,898,566.30256
1.0,497,566.765575
6.0,354,567.088914
6.0,582,567.607874
4.0,396,567.970187
5.0,434,568.357279
27.0,1057,569.288415
25.0,1314,570.441602
10.0,624,570.998981
15.0,922,571.831103
10.0,629,572.388833
10.0,842,573.158433
14.0,968,574.089765
20.0,1301,575.272695
8.0,549,575.775066
14.0,886,576.651655
10.0,676,577.276312
10.0,859,578.061987
9.0,650,578.643556
5.0,396,578.990975
10.0,674,579.600073
0.0,389,579.942972
12.0,614,580.491498
18.0,1164,581.512145
5.0,502,581.952836
13.0,635,582.528935
8.0,614,583.07337
4.0,380,583.423976
3.0,582,583.952084
4.0,343,584.251789
4.0,507,584.692729
14.0,940,585.542557
6.0,535,586.014981
13.0,665,586.626005
8.0,636,587.205965
15.0,990,588.14787
14.0,816,588.930936
27.0,1408,590.213943
9.0,713,590.867243
7.0,399,591.218762
7.0,453,591.64056
10.0,666,592.24179
19.0,820,592.973441
5.0,451,593.37006
12.0,774,594.068166
4.0,447,594.462951
5.0,392,594.810669
8.0,562,595.314845
8.0,547,595.799307
8.0,682,596.40499
5.0,567,596.924472
6.0,537,597.403295
5.0,383,597.750338
6.0,363,598.078473
6.0,395,598.435764
19.0,1041,599.369055
17.0,1000,600.287605
9.0,587,600.824455
7.0,603,601.387162
20.0,1041,602.352021
7.0,627,602.940135
5.0,621,603.510745
6.0,411,603.878242
21.0,1065,604.822663
8.0,643,605.407645
5.0,464,605.828679
5.0,376,606.154183
15.0,821,606.883568
11.0,928,607.718752
7.0,413,608.100537
9.0,713,608.748043
16.0,1047,609.685045
17.0,938,610.526026
7.0,546,611.020834
2.0,495,611.458321
14.0,894,612.286289
8.0,632,612.86927
11.0,906,613.697919
3.0,410,614.081461
6.0,401,614.459897
5.0,519,614.93447
10.0,680,615.564585
7.0,527,616.040744
9.0,721,616.696881
4.0,381,617.03388
11.0,677,617.64671
13.0,717,618.292101
4.0,355,618.614024
4.0,575,619.134919
5.0,386,619.487032
19.0,1307,620.658917
5.0,406,621.010355
7.0,520,621.469548
7.0,479,621.89828
11.0,874,622.674895
6.0,402,623.030088
3.0,381,623.375458
18.0,948,624.219916
6.0,509,624.697881
6.0,587,625.244734
10.0,777,625.96046
19.0,953,626.837327
13.0,701,627.492186
19.0,1074,628.452477
18.0,1038,629.386997
7.0,371,629.713887
5.0,509,630.185184
5.0,528,630.661827
23.0,1006,631.565041
19.0,1339,632.762945
8.0,527,633.248734
15.0,806,633.988898
10.0,574,634.506029
22.0,961,635.350583
6.0,598,635.880835
12.0,676,636.485997
5.0,530,636.969446
14.0,796,637.705902
17.0,799,638.437596
10.0,672,639.039482
4.0,379,639.390687
10.0,657,640.029067
5.0,558,640.554312
4.0,486,641.003842
9.0,488,641.443177
6.0,624,642.008357
13.0,816,642.740885
13.0,784,643.448289
7.0,376,643.797125
15.0,976,644.671417
7.0,635,645.262537
15.0,978,646.135001
8.0,654,646.727743
19.0,1036,647.639983
8.0,568,648.156195
3.0,398,648.505871
8.0,507,648.960131
7.0,472,649.381555
12.0,860,650.161037
12.0,748,650.860353
10.0,671,651.487107
9.0,602,652.064613
4.0,447,652.49765
5.0,379,652.85164
11.0,744,653.527947
9.0,601,654.069804
9.0,807,654.797292
4.0,482,655.255936
7.0,539,655.739185
5.0,697,656.371137
12.0,632,656.922749
6.0,640,657.518607
9.0,664,658.114927
11.0,948,658.975158
20.0,994,659.86312
7.0,499,660.307702
8.0,379,660.65023
11.0,709,661.279986
13.0,693,661.897326
14.0,925,662.740636
9.0,715,663.413385
6.0,547,663.911446
11.0,826,664.669342
4.0,496,665.114852
8.0,472,665.537937
5.0,508,666.008888
5.0,429,666.399169
6.0,425,666.781218
9.0,688,667.405563
7.0,502,667.849288
19.0,980,668.724608
5.0,512,669.191091
3.0,404,669.562904
21.0,1090,670.531121
5.0,531,671.009037
5.0,590,671.549192
9.0,620,672.110291
12.0,973,672.995871
5.0,578,673.518333
7.0,614,674.071572
5.0,573,674.602598
5.0,662,675.199887
14.0,760,675.901567
4.0,357,676.240524
18.0,974,677.140218
9.0,397,677.534928
11.0,707,678.21705
6.0,395,678.581544
5.0,509,679.033911
3.0,337,679.353856
10.0,615,679.909667
6.0,416,680.281563
10.0,860,681.066584
7.0,693,681.672904
8.0,617,682.232102
19.0,1108,683.222642
19.0,1028,684.121601
19.0,1093,685.108941
4.0,481,685.554364
10.0,663,686.145248
15.0,939,687.008081
5.0,501,687.467364
3.0,336,687.771414
12.0,860,688.58972
4.0,391,688.944195
12.0,745,689.641911
20.0,986,690.598478
7.0,505,691.071949
14.0,899,691.883698
5.0,400,692.250808
8.0,622,692.804429
6.0,360,693.120027
14.0,1046,694.053154
16.0,805,694.770108
12.0,916,695.604623
5.0,400,695.958134
8.0,718,696.609526
6.0,381,696.944226
6.0,633,697.52073
15.0,681,698.130481
8.0,584,698.657838
17.0,1000,699.557161
17.0,869,700.358098
14.0,1194,701.451148
17.0,1164,702.529734
8.0,531,703.015875
14.0,735,703.696311
10.0,737,704.35682
12.0,517,704.838242
14.0,658,705.431342
16.0,832,706.16577
5.0,635,706.73991
